Elm	Domain	interactorElm	interactorDomain	StartElm	StopElm	StartDomain	StopDomain	AffinityMin	AffinityMax	PMID	taxonomyElm	taxonomyDomain	
LIG_PDZ_Class_1	PF00595	P09619	O14745	1101	1106	None	None	None	None	11882663	"9606"(Homo sapiens)	"9606"(Homo sapiens)
LIG_PDZ_Class_1	PF00595	P11274	P55196	1266	1271	1008	1090	None	None	17473018	"9606"(Homo sapiens)	"9606"(Homo sapiens)
LIG_PDZ_Class_1	PF00595	Q9H251	Q9Y6N9	3349	3354	None	None	None	None	19297620	"9606"(Homo sapiens)	"9606"(Homo sapiens)
LIG_PDZ_Class_1	PF00595	P35222	Q9DBG9	776	781	17	110	0.14	0.24	18835279	"9606"(Homo sapiens)	"10090"(Mus musculus)
LIG_PDZ_Class_1	PF00595	Q792Q4	P31016	96	101	None	None	None	None	8674113	"10116"(Rattus norvegicus)	"10116"(Rattus norvegicus)
LIG_PDZ_Class_1	PF00595	P13569	O14745	1475	1480	None	None	None	None	9677412,11304524	"9606"(Homo sapiens)	"9606"(Homo sapiens)
LIG_PDZ_Class_1	PF00595	Q8QG92	P51142	819	824	254	339	None	None	11970895	"8355"(Xenopus laevis)	"8355"(Xenopus laevis)
LIG_PDZ_Class_1	PF00595	Q13268	Q15599	253	258	None	None	None	None	17384233	"9606"(Homo sapiens)	"9606"(Homo sapiens)
LIG_PDZ_Class_1	PF00595	P97836	Q9WV48	987	992	663	754	None	None	12954649	"10116"(Rattus norvegicus)	"10116"(Rattus norvegicus)
LIG_PDZ_Class_1	PF00595	Q86XX4	P97879	4002	4007	None	None	9.4	9.4	18155042	"9606"(Homo sapiens)	"10116"(Rattus norvegicus)
LIG_PDZ_Class_1	PF00595	Q8R4T5	Q8R4T5	389	394	100	186	631.0	631.0	17396155	"10116"(Rattus norvegicus)	"10116"(Rattus norvegicus)
LIG_PDZ_Class_1	PF00595	P19490	Q62696	902	907	None	None	None	None	12070168,17069616,16634638	"10116"(Rattus norvegicus)	"10116"(Rattus norvegicus)
LIG_PDZ_Class_1	PF00595	Q9WTT6	P31016	449	454	None	None	None	None	19072119	"10116"(Rattus norvegicus)	"10116"(Rattus norvegicus)
LIG_PDZ_Class_1	PF00595	Q01344	O00560	415	420	None	None	None	None	11498591,12842047	"9606"(Homo sapiens)	"9606"(Homo sapiens)
LIG_PDZ_Class_1	PF00595	P48050	O14907	440	445	17	110	None	None	19635485	"9606"(Homo sapiens)	"9606"(Homo sapiens)
LIG_PDZ_Class_1	PF00595	P23634	O75970	1236	1241	None	None	None	None	17384233	"9606"(Homo sapiens)	"9606"(Homo sapiens)
LIG_PDZ_Class_1	PF00595	P23634	Q15700	1236	1241	None	None	None	None	17384233	"9606"(Homo sapiens)	"9606"(Homo sapiens)
LIG_PDZ_Class_1	PF00595	P06463	Q12959	153	158	None	None	0.1	1.3	17713926,17267502	"333761"(Human papillomavirus type 18)	"9606"(Homo sapiens)
LIG_PDZ_Class_1	PF00595	P06463	Q6RHR9	153	158	None	None	None	None	17713926,17267502	"333761"(Human papillomavirus type 18)	"10090"(Mus musculus)
LIG_PDZ_Class_1	PF00595	P06463	Q62696	153	158	None	None	None	None	17713926,17267502	"333761"(Human papillomavirus type 18)	"10116"(Rattus norvegicus)
LIG_PDZ_Class_1	PF00595	Q8TEU7	Q12923	1596	1601	None	None	None	None	12095257,20430886	"9606"(Homo sapiens)	"9606"(Homo sapiens)
LIG_PDZ_Class_1	PF00595	O55043	Q9WV48	641	646	663	754	None	None	20117114	"10116"(Rattus norvegicus)	"10116"(Rattus norvegicus)
LIG_PDZ_Class_1	PF00595	Q495M9	Q9Y6N9	456	461	None	None	1.0	1.0	20142502	"9606"(Homo sapiens)	"9606"(Homo sapiens)
LIG_PDZ_Class_2	PF00595	Q02410	Q02410	832	837	None	None	None	None	16007100	"9606"(Homo sapiens)	"9606"(Homo sapiens)
LIG_PDZ_Class_2	PF00595	P55284	Q99NH2	779	784	None	None	4.0	8.0	20047332	"10090"(Mus musculus)	"10090"(Mus musculus)
LIG_PDZ_Class_2	PF00595	Q811U3	Q9JIR4	943	948	619	703	0.27	0.27	16095618	"10116"(Rattus norvegicus)	"10116"(Rattus norvegicus)
LIG_PDZ_Class_2	PF00595	P19491	Q9EP80	878	883	22	101	None	None	17914463	"10116"(Rattus norvegicus)	"10116"(Rattus norvegicus)
LIG_PDZ_Class_2	PF00595	P04921	Q00013	123	128	71	149	None	None	9305870,17572384	"9606"(Homo sapiens)	"9606"(Homo sapiens)
LIG_PDZ_Class_2	PF00595	Q13136	P97879	1197	1202	None	None	None	None	12493751	"9606"(Homo sapiens)	"10116"(Rattus norvegicus)
LIG_PDZ_Class_2	PF00595	P04626	Q96RT1	1250	1255	1321	1407	None	None	12444095	"9606"(Homo sapiens)	"9606"(Homo sapiens)
LIG_PDZ_Class_2	PF00595	P31431	O00560	193	198	None	None	2.3	2.3	12679023,16533050,12842047	"9606"(Homo sapiens)	"9606"(Homo sapiens)
LIG_PDZ_Class_3	PF00595	P48039	P29476	345	350	17	96	None	None	10331866	"9606"(Homo sapiens)	"10116"(Rattus norvegicus)
LIG_CaM_IQ_9	PF13499	P38377	P62161	13	31	85	146	None	None	21102557	"9615"(Canis lupus familiaris)	"10116"(Rattus norvegicus)
LIG_CaM_IQ_9	PF13499	P38377	P62161	13	31	8	73	None	None	21102557	"9615"(Canis lupus familiaris)	"10116"(Rattus norvegicus)
LIG_CaM_IQ_9	PF13499	P04775	P07463	1906	1925	80	146	None	None	21439835	"10116"(Rattus norvegicus)	"5888"(Paramecium tetraurelia)
LIG_CaM_IQ_9	PF13499	P04775	P07463	1906	1925	8	73	None	None	21439835	"10116"(Rattus norvegicus)	"5888"(Paramecium tetraurelia)
LIG_CaM_IQ_9	PF13499	Q13936	P62158	1666	1685	85	146	None	None	16338416	"9606"(Homo sapiens)	"9606"(Homo sapiens)
LIG_CaM_IQ_9	PF13499	Q13936	P62158	1666	1685	8	73	None	None	16338416	"9606"(Homo sapiens)	"9606"(Homo sapiens)
LIG_CaM_IQ_9	PF13499	P40421	P62152	6	25	85	146	None	None	11754840	"7227"(Drosophila melanogaster)	"7227"(Drosophila melanogaster)
LIG_CaM_IQ_9	PF13499	P40421	P62152	6	25	8	73	None	None	11754840	"7227"(Drosophila melanogaster)	"7227"(Drosophila melanogaster)
LIG_CaM_IQ_9	PF13499	O14830	P62152	20	38	85	146	None	None	11754840,12051765	"9606"(Homo sapiens)	"7227"(Drosophila melanogaster)
LIG_CaM_IQ_9	PF13499	O14830	P62152	20	38	8	73	None	None	11754840,12051765	"9606"(Homo sapiens)	"7227"(Drosophila melanogaster)
LIG_CaM_IQ_9	PF13499	P04774	P62161	1916	1935	85	146	None	None	21726526	"10116"(Rattus norvegicus)	"10116"(Rattus norvegicus)
LIG_CaM_IQ_9	PF13499	P04774	P62161	1916	1935	8	73	None	None	21726526	"10116"(Rattus norvegicus)	"10116"(Rattus norvegicus)
LIG_CaM_IQ_9	PF13499	Q14524	P62158	1902	1921	85	146	None	None	16505387,21167176	"9606"(Homo sapiens)	"9606"(Homo sapiens)
LIG_CaM_IQ_9	PF13499	Q14524	P62158	1902	1921	8	73	None	None	16505387,21167176	"9606"(Homo sapiens)	"9606"(Homo sapiens)
LIG_CaM_IQ_9	PF13499	Q9WTI7	P62149	735	754	85	146	None	None	17910470	"10090"(Mus musculus)	"9031"(Gallus gallus)
LIG_CaM_IQ_9	PF13499	Q9WTI7	P62149	735	754	8	73	None	None	17910470	"10090"(Mus musculus)	"9031"(Gallus gallus)
LIG_CaM_IQ_9	PF13499	Q9WTI7	P62149	758	777	85	146	None	None	17910470	"10090"(Mus musculus)	"9031"(Gallus gallus)
LIG_CaM_IQ_9	PF13499	Q9WTI7	P62149	758	777	8	73	None	None	17910470	"10090"(Mus musculus)	"9031"(Gallus gallus)
LIG_CaM_IQ_9	PF13499	Q9WTU3	P62157	1894	1913	85	146	None	None	12967988	"10090"(Mus musculus)	"9913"(Bos taurus)
LIG_CaM_IQ_9	PF13499	Q9WTU3	P62157	1894	1913	8	73	None	None	12967988	"10090"(Mus musculus)	"9913"(Bos taurus)
LIG_CaM_IQ_9	PF13499	P15390	P62157	1721	1740	85	146	None	None	12967988	"10116"(Rattus norvegicus)	"9913"(Bos taurus)
LIG_CaM_IQ_9	PF13499	P15390	P62157	1721	1740	8	73	None	None	12967988	"10116"(Rattus norvegicus)	"9913"(Bos taurus)
LIG_CaM_IQ_9	PF00036	P22467	P02599	746	765	87	115	0.0006	0.0042	21671662	"44689"(Dictyostelium discoideum)	"44689"(Dictyostelium discoideum)
LIG_CaM_IQ_9	PF00036	P22467	P02599	746	765	123	150	0.0006	0.0042	21671662	"44689"(Dictyostelium discoideum)	"44689"(Dictyostelium discoideum)
LIG_CaM_IQ_9	PF13499	P22467	P02599	746	765	11	75	0.0006	0.0042	21671662	"44689"(Dictyostelium discoideum)	"44689"(Dictyostelium discoideum)
LIG_CaM_IQ_9	PF00036	Q03479	P02599	697	715	87	115	0.00245	0.00485	21671662	"44689"(Dictyostelium discoideum)	"44689"(Dictyostelium discoideum)
LIG_CaM_IQ_9	PF00036	Q03479	P02599	697	715	123	150	0.00245	0.00485	21671662	"44689"(Dictyostelium discoideum)	"44689"(Dictyostelium discoideum)
LIG_CaM_IQ_9	PF13499	Q03479	P02599	697	715	11	75	0.00245	0.00485	21671662	"44689"(Dictyostelium discoideum)	"44689"(Dictyostelium discoideum)
LIG_CaM_IQ_9	PF00036	Q03479	P02599	719	738	87	115	0.00347	0.00507	21671662	"44689"(Dictyostelium discoideum)	"44689"(Dictyostelium discoideum)
LIG_CaM_IQ_9	PF00036	Q03479	P02599	719	738	123	150	0.00347	0.00507	21671662	"44689"(Dictyostelium discoideum)	"44689"(Dictyostelium discoideum)
LIG_CaM_IQ_9	PF13499	Q03479	P02599	719	738	11	75	0.00347	0.00507	21671662	"44689"(Dictyostelium discoideum)	"44689"(Dictyostelium discoideum)
LIG_CaM_IQ_9	PF13499	Q9HD67	P62158	766	785	85	146	0.0008	0.0014	20731332	"9606"(Homo sapiens)	"9606"(Homo sapiens)
LIG_CaM_IQ_9	PF13499	Q9HD67	P62158	766	785	8	73	0.0008	0.0014	20731332	"9606"(Homo sapiens)	"9606"(Homo sapiens)
LIG_CaM_IQ_9	PF13499	Q9HD67	P62158	789	808	85	146	0.00125	0.0063	20731332	"9606"(Homo sapiens)	"9606"(Homo sapiens)
LIG_CaM_IQ_9	PF13499	Q9HD67	P62158	789	808	8	73	0.00125	0.0063	20731332	"9606"(Homo sapiens)	"9606"(Homo sapiens)
LIG_CaM_IQ_9	PF13499	P40146	P62161	1191	1209	85	146	None	None	19305019	"10116"(Rattus norvegicus)	"10116"(Rattus norvegicus)
LIG_CaM_IQ_9	PF13499	P40146	P62161	1191	1209	8	73	None	None	19305019	"10116"(Rattus norvegicus)	"10116"(Rattus norvegicus)
LIG_CaM_IQ_9	PF13499	Q39575	A8HNF8	869	887	21	83	None	None	17634291	"3055"(Chlamydomonas reinhardtii)	"3055"(Chlamydomonas reinhardtii)
LIG_CaM_IQ_9	PF13499	Q39575	A8HNF8	1157	1175	21	83	None	None	17634291	"3055"(Chlamydomonas reinhardtii)	"3055"(Chlamydomonas reinhardtii)
LIG_CaM_IQ_9	PF13499	P10676	P62152	1037	1056	85	146	None	None	7556088	"7227"(Drosophila melanogaster)	"7227"(Drosophila melanogaster)
LIG_CaM_IQ_9	PF13499	P10676	P62152	1037	1056	8	73	None	None	7556088	"7227"(Drosophila melanogaster)	"7227"(Drosophila melanogaster)
LIG_CaM_IQ_9	PF13499	P10676	P62152	1073	1091	85	146	None	None	7556088	"7227"(Drosophila melanogaster)	"7227"(Drosophila melanogaster)
LIG_CaM_IQ_9	PF13499	P10676	P62152	1073	1091	8	73	None	None	7556088	"7227"(Drosophila melanogaster)	"7227"(Drosophila melanogaster)
LIG_CaM_IQ_9	PF13499	O14830	P62204	20	38	85	146	None	None	11754840,12051765	"9606"(Homo sapiens)	"10090"(Mus musculus)
LIG_CaM_IQ_9	PF13499	O14830	P62204	20	38	8	73	None	None	11754840,12051765	"9606"(Homo sapiens)	"10090"(Mus musculus)
LIG_CaM_IQ_9	PF13499	P06836	P62157	32	51	85	146	None	None	1824693	"9913"(Bos taurus)	"9913"(Bos taurus)
LIG_CaM_IQ_9	PF13499	P06836	P62157	32	51	8	73	None	None	1824693	"9913"(Bos taurus)	"9913"(Bos taurus)
LIG_CaM_IQ_9	PF13499	Q2WEL1	Q0JNS6	758	777	85	146	None	None	16192280	"4530"(Oryza sativa)	"39947"(Oryza sativa Japonica Group)
LIG_CaM_IQ_9	PF13499	Q2WEL1	Q0JNS6	758	777	9	73	None	None	16192280	"4530"(Oryza sativa)	"39947"(Oryza sativa Japonica Group)
LIG_CaM_IQ_9	PF13499	Q13698	P62158	1523	1542	85	146	0.0068	0.009	19473981	"9606"(Homo sapiens)	"9606"(Homo sapiens)
LIG_CaM_IQ_9	PF13499	Q13698	P62158	1523	1542	8	73	0.0068	0.009	19473981	"9606"(Homo sapiens)	"9606"(Homo sapiens)
LIG_PDZ_Class_1	PF00595	P46937	O14745	499	504	None	None	None	None	10562288	"9606"(Homo sapiens)	"9606"(Homo sapiens)
DOC_PP1_RVXF_1	PF00149	O35867	P62138	455	461	57	252	None	None	10585469,10504266	"10116"(Rattus norvegicus)	"10116"(Rattus norvegicus)
LIG_WW_1	PF00397	O15350	P46937	484	487	None	None	None	None	11278685,15678106	"9606"(Homo sapiens)	"9606"(Homo sapiens)
LIG_WW_1	PF00397	O15350	Q96J02	484	487	None	None	None	None	11278685,15678106	"9606"(Homo sapiens)	"9606"(Homo sapiens)
LIG_WW_1	PF00397	O88898	P46937	540	543	None	None	None	None	11278685	"10090"(Mus musculus)	"9606"(Homo sapiens)
LIG_PDZ_Class_1	PF00595	P46937-2	Q9UDY2	483	488	None	None	None	None	20868367	"9606"(Homo sapiens)	"9606"(Homo sapiens)
DOC_USP7_MATH_1	PF00917	O15151	Q93009	8	12	57	197	None	None	20713061	"9606"(Homo sapiens)	"9606"(Homo sapiens)
DOC_USP7_MATH_1	PF00917	O15151	Q93009	398	402	57	197	None	None	20713061	"9606"(Homo sapiens)	"9606"(Homo sapiens)
DOC_USP7_MATH_1	PF00917	Q00987	Q93009	397	401	57	197	None	None	20713061	"9606"(Homo sapiens)	"9606"(Homo sapiens)
LIG_FAT_LD_1	PF03623	P49023	Q14289	266	274	870	1008	None	None	14527389,19358827	"9606"(Homo sapiens)	"9606"(Homo sapiens)
LIG_FAT_LD_1	PF03623	P49023	Q00944	266	274	915	1053	None	None	14527389,19358827	"9606"(Homo sapiens)	"9031"(Gallus gallus)
LIG_FAT_LD_1	PF03623	P49024	Q00944	145	153	915	1053	None	None	11909967	"9031"(Gallus gallus)	"9031"(Gallus gallus)
LIG_FAT_LD_1	PF03623	O43294	Q05397	158	166	914	1052	None	None	11463817	"9606"(Homo sapiens)	"9606"(Homo sapiens)
LIG_Rb_pABgroove_1	PF01858	P03255	P06400	41	49	373	573	None	None	1534854,17974914	"28285"(Human adenovirus 5)	"9606"(Homo sapiens)
LIG_Rb_pABgroove_1	PF01857	P03255	P06400	41	49	645	766	None	None	1534854,17974914	"28285"(Human adenovirus 5)	"9606"(Homo sapiens)
LIG_Rb_pABgroove_1	PF01858	Q14209	P06400	420	428	373	573	None	None	12502741	"9606"(Homo sapiens)	"9606"(Homo sapiens)
LIG_Rb_pABgroove_1	PF01857	Q14209	P06400	420	428	645	766	None	None	12502741	"9606"(Homo sapiens)	"9606"(Homo sapiens)
LIG_Rb_pABgroove_1	PF01858	Q01094	P06400	419	427	373	573	None	None	8346196,8413249	"9606"(Homo sapiens)	"9606"(Homo sapiens)
LIG_Rb_pABgroove_1	PF01857	Q01094	P06400	419	427	645	766	None	None	8346196,8413249	"9606"(Homo sapiens)	"9606"(Homo sapiens)
LIG_GYF	PF02213	P06729	O95400	295	303	281	338	None	None	12426371	"9606"(Homo sapiens)	"9606"(Homo sapiens)
LIG_SH3_2	PF07653	P50570	O00499	829	834	524	590	None	None	15483625	"9606"(Homo sapiens)	"9606"(Homo sapiens)
LIG_SH2_SRC	PF00017	Q14118	P06241	892	895	149	231	None	None	11724572	"9606"(Homo sapiens)	"9606"(Homo sapiens)
LIG_SH3_2	PF00018	Q13153	P16333	13	18	None	None	None	None	8798379	"9606"(Homo sapiens)	"9606"(Homo sapiens)
DOC_AGCK_PIF_1	PF00069	P31749	O15530	469	474	82	341	None	None	12167717,11500365	"9606"(Homo sapiens)	"9606"(Homo sapiens)
DOC_AGCK_PIF_1	PF00069	Q13464	O15530	394	399	82	341	None	None	18204440	"9606"(Homo sapiens)	"9606"(Homo sapiens)
DOC_AGCK_PIF_1	PF00069	P18654	O15530	382	387	82	341	None	None	10856237	"10090"(Mus musculus)	"9606"(Homo sapiens)
DOC_AGCK_PIF_1	PF00069	P67999	O15530	408	413	82	341	None	None	11500365	"10116"(Rattus norvegicus)	"9606"(Homo sapiens)
DOC_AGCK_PIF_1	PF00069	O00141	O15530	418	423	82	341	None	None	11500365	"9606"(Homo sapiens)	"9606"(Homo sapiens)
DOC_AGCK_PIF_1	PF00069	Q96BR1	O15530	482	487	82	341	None	None	16790420	"9606"(Homo sapiens)	"9606"(Homo sapiens)
DOC_AGCK_PIF_1	PF00069	Q9ERE3	O15530	482	487	82	341	None	None	14604990	"10090"(Mus musculus)	"9606"(Homo sapiens)
DOC_AGCK_PIF_1	PF00069	P31751	P31751	470	475	152	409	None	None	12434148	"9606"(Homo sapiens)	"9606"(Homo sapiens)
DOC_AGCK_PIF_1	PF00069	P11792	Q03407	733	738	125	391	None	None	21531713	"559292"(Saccharomyces cerevisiae S288c)	"559292"(Saccharomyces cerevisiae S288c)
DOC_AGCK_PIF_2	PF00069	P41743	O15530	579	584	82	341	None	None	10764742	"9606"(Homo sapiens)	"9606"(Homo sapiens)
DOC_AGCK_PIF_2	PF00069	Q05513	O15530	575	580	82	341	None	None	10764742	"9606"(Homo sapiens)	"9606"(Homo sapiens)
DOC_AGCK_PIF_2	PF00069	Q02956	O15530	575	580	82	341	None	None	10764742	"10090"(Mus musculus)	"9606"(Homo sapiens)
DOC_AGCK_PIF_2	PF00069	Q16512	O15530	932	937	82	341	None	None	10764742	"9606"(Homo sapiens)	"9606"(Homo sapiens)
DOC_AGCK_PIF_2	PF00069	Q16513	O15530	974	979	82	341	None	None	16219676,10764742,10698939	"9606"(Homo sapiens)	"9606"(Homo sapiens)
DOC_AGCK_PIF_3	PF00069	P17612	O15530	348	351	82	341	None	None	10698939	"9606"(Homo sapiens)	"9606"(Homo sapiens)
DOC_AGCK_PIF_3	PF00069	P05132	O15530	348	351	82	341	None	None	12372837,15299527	"10090"(Mus musculus)	"9606"(Homo sapiens)
DOC_AGCK_PIF_3	PF00069	P05132	P05132	348	351	44	298	None	None	12372837,15299527	"10090"(Mus musculus)	"10090"(Mus musculus)
DOC_AGCK_PIF_3	PF00069	P06244	Q03407	394	397	125	391	None	None	21531713	"559292"(Saccharomyces cerevisiae S288c)	"559292"(Saccharomyces cerevisiae S288c)
DOC_AGCK_PIF_3	PF00069	Q5I6E9	Q5I6E8	697	700	48	315	None	None	16362044	"4081"(Solanum lycopersicum)	"4081"(Solanum lycopersicum)
DOC_AGCK_PIF_3	PF00069	Q9LSF1	Q9XF67	418	421	44	311	None	None	14749726	"3702"(Arabidopsis thaliana)	"3702"(Arabidopsis thaliana)
DEG_CRL4_CDT2_2	PF02747	Q27368	P17917	151	163	127	254	None	None	19081076	"7227"(Drosophila melanogaster)	"7227"(Drosophila melanogaster)
MOD_GSK3_1	PF00069	P04637	P49841	30	37	56	340	None	None	11483158	"9606"(Homo sapiens)	"9606"(Homo sapiens)
MOD_GSK3_1	PF00069	P54252	P49841	253	260	56	340	None	None	17434145	"9606"(Homo sapiens)	"9606"(Homo sapiens)
LIG_EVH1_3	PF00568	O43516	O08816	454	466	28	135	None	None	12437929,17229736,12372256	"9606"(Homo sapiens)	"10116"(Rattus norvegicus)
LIG_EVH1_3	PF00568	Q8TF74	P42768	400	412	36	145	None	None	12213210,15265696	"9606"(Homo sapiens)	"9606"(Homo sapiens)
LIG_EVH1_3	PF00568	Q9Z0G8	Q95107	425	437	31	138	None	None	11553796	"10116"(Rattus norvegicus)	"9913"(Bos taurus)
LIG_Actin_WH2_2	PF00022	Q6AWX6	P68135	757	774	4	377	None	None	1529676,15534215	"3702"(Arabidopsis thaliana)	"9986"(Oryctolagus cuniculus)
LIG_Actin_WH2_2	PF00022	Q5XPJ9	P68135	1336	1353	4	377	None	None	15534215	"3702"(Arabidopsis thaliana)	"9986"(Oryctolagus cuniculus)
LIG_Actin_WH2_2	PF00022	Q9LP46	P68135	955	972	4	377	None	None	15534215	"3702"(Arabidopsis thaliana)	"9986"(Oryctolagus cuniculus)
LIG_Actin_WH2_2	PF00022	Q5XPJ6	P68135	1106	1123	4	377	None	None	15534215	"3702"(Arabidopsis thaliana)	"9986"(Oryctolagus cuniculus)
LIG_Actin_WH2_2	PF00022	P18281	P68135	2	18	4	377	None	None	1464307	"5755"(Acanthamoeba castellanii)	"9986"(Oryctolagus cuniculus)
LIG_Actin_WH2_2	PF00022	O97428	P68135	53	71	4	377	None	None	16275905,11030623	"7227"(Drosophila melanogaster)	"9986"(Oryctolagus cuniculus)
LIG_Actin_WH2_2	PF00022	O97428	P68135	91	109	4	377	None	None	16275905,11030623	"7227"(Drosophila melanogaster)	"9986"(Oryctolagus cuniculus)
LIG_Actin_WH2_2	PF00022	O43312	P68135	728	744	4	377	0.23	0.23	17292833,16275905	"9606"(Homo sapiens)	"9986"(Oryctolagus cuniculus)
LIG_Actin_WH2_2	PF00022	P20065	P68135	9	27	4	377	None	None	1464307	"10090"(Mus musculus)	"9986"(Oryctolagus cuniculus)
LIG_Actin_WH2_2	PF00022	A2VCK8	P68135	3	21	4	377	0.64	0.88	8617195,16275905	"9606"(Homo sapiens)	"9986"(Oryctolagus cuniculus)
LIG_Actin_WH2_2	PF00022	Q9U1K1	P68135	400	417	4	377	None	None	20538977,10556052,15674283	"7227"(Drosophila melanogaster)	"9986"(Oryctolagus cuniculus)
LIG_Actin_WH2_2	PF00022	Q9U1K1	P10987	400	417	3	376	None	None	20538977,10556052,15674283	"7227"(Drosophila melanogaster)	"7227"(Drosophila melanogaster)
LIG_Actin_WH2_2	PF00022	Q9U1K1	P02578	370	386	2	375	None	None	15674283	"7227"(Drosophila melanogaster)	"5755"(Acanthamoeba castellanii)
LIG_Actin_WH2_2	PF00022	Q9U1K1	P02578	400	417	2	375	None	None	20538977,10556052,15674283	"7227"(Drosophila melanogaster)	"5755"(Acanthamoeba castellanii)
LIG_Actin_WH2_2	PF00022	Q9U1K1	P02578	432	448	2	375	None	None	15674283	"7227"(Drosophila melanogaster)	"5755"(Acanthamoeba castellanii)
LIG_Actin_WH2_2	PF00022	Q9U1K1	P68139	400	417	4	377	None	None	20538977,10556052,15674283	"7227"(Drosophila melanogaster)	"9031"(Gallus gallus)
LIG_Actin_WH2_1	PF00022	O43516	P68135	33	49	4	377	0.15	0.17	16275905	"9606"(Homo sapiens)	"9986"(Oryctolagus cuniculus)
LIG_Actin_WH2_1	PF00022	P42768	P68135	431	447	4	377	0.6	0.6	11146629,16275905	"9606"(Homo sapiens)	"9986"(Oryctolagus cuniculus)
LIG_Actin_WH2_1	PF00022	Q9Y6W5	P68135	437	453	4	377	0.049	0.055	16275905	"9606"(Homo sapiens)	"9986"(Oryctolagus cuniculus)
LIG_Actin_WH2_1	PF00022	Q9U1K1	P68135	464	480	4	377	None	None	20538977,10556052,15674283	"7227"(Drosophila melanogaster)	"9986"(Oryctolagus cuniculus)
LIG_Actin_WH2_1	PF00022	Q9U1K1	P10987	464	480	3	376	None	None	20538977,10556052,15674283	"7227"(Drosophila melanogaster)	"7227"(Drosophila melanogaster)
LIG_Actin_WH2_1	PF00022	Q92558	P02578	498	514	2	375	2.6	3.6	11146629,16403731	"9606"(Homo sapiens)	"5755"(Acanthamoeba castellanii)
LIG_Actin_WH2_1	PF00022	Q9U1K1	P02578	464	480	2	375	None	None	20538977,10556052,15674283	"7227"(Drosophila melanogaster)	"5755"(Acanthamoeba castellanii)
LIG_Actin_WH2_1	PF00022	Q92558	P68135	498	514	4	377	0.1	0.1	11146629,16403731	"9606"(Homo sapiens)	"9986"(Oryctolagus cuniculus)
LIG_Actin_WH2_1	PF00022	Q9U1K1	P68139	464	480	4	377	None	None	20538977,10556052,15674283	"7227"(Drosophila melanogaster)	"9031"(Gallus gallus)
LIG_Actin_RPEL_3	PF00022	Q8K4J6	P68135	17	36	4	377	4.9	5.9	19008859,12732141,18025109,21673315,17588931	"10090"(Mus musculus)	"9986"(Oryctolagus cuniculus)
LIG_Actin_RPEL_3	PF00022	Q8K4J6	P68135	61	80	4	377	2.1	2.5	19008859,21673315,12732141,18025109,17588931,20818336	"10090"(Mus musculus)	"9986"(Oryctolagus cuniculus)
LIG_Actin_RPEL_3	PF00022	Q8K4J6	P68135	105	124	4	377	17.8	19.8	19008859,12732141,18025109,21673315,17588931	"10090"(Mus musculus)	"9986"(Oryctolagus cuniculus)
LIG_Actin_RPEL_3	PF00022	Q9ULH7	P62736	42	61	4	377	None	None	14565952	"9606"(Homo sapiens)	"9606"(Homo sapiens)
LIG_Actin_RPEL_3	PF00022	Q9ULH7	P62736	86	105	4	377	None	None	14565952	"9606"(Homo sapiens)	"9606"(Homo sapiens)
LIG_Actin_RPEL_3	PF00022	Q9ULH7	P62736	130	149	4	377	None	None	14565952	"9606"(Homo sapiens)	"9606"(Homo sapiens)
